game_id,block_key,current_lane,current_blocker_status,recommended_execution_lane,next_step,evidence_basis
0029600070,0,status_quo_chosen,accepted_old_era_visible_stint_minute_tail,status_quo_chosen,Keep parser-visible Marciulionis stints and accept the 22-second official-minute tail as a chosen source/reference discrepancy.,No event-on-court rows and no PM deltas; visible stints are coherent.
0029600171,0,status_quo_chosen,accepted_unanchored_missing_smith_stint,status_quo_chosen,Keep current output and explicitly accept the six Smith Q3 event contradictions because OUT is unanchored.,"Smith's IN is forced by live actions, but the outgoing Kings player is not anchored by source evidence or a validated single-slot contradiction."
0029600175,0,status_quo_chosen,accepted_single_event_unanchored_carr_tail,status_quo_chosen,Keep current output and accept the single Carr late-Q3 shot contradiction.,One 14-second event is not enough to synthesize an outgoing player.
0029600204,0,local_override_chosen,event_first_accepted_residual,local_override_chosen,Promote E338 before E339 and accept the residual Ron Harper minute and Harper/Jordan PM source split.,Fresh selected rerun clears event rows and counting stats but leaves Ron Harper -0.2867 minutes plus Harper/Jordan -2/+2 PM.
0029600332,0,status_quo_chosen,accepted_box_pbp_rotation_split,status_quo_chosen,Keep parser-visible Mullin/DeClercq stints; do not build a P4 Mullin rotation from box minutes.,Raw and BBR-visible PBP support the parser stints and no live event contradicts them.
0029600370,0,status_quo_chosen,accepted_box_pbp_multi_player_split,status_quo_chosen,Keep parser-visible Dallas/Seattle rotations and accept the large box/PBP split.,No event-level contradiction anchors the Mashburn/Schrempf/Harper/Ehlo reconstruction.
0029600585,0,status_quo_chosen,accepted_unanchored_curry_late_entry_contradiction,status_quo_chosen,Keep current output and accept the Dell Curry late-entry contradiction.,"Curry's live actions are real, but moving the visible row back would invent a large unanchored Curry/Smith stint."
0029600657,0,status_quo_chosen,accepted_duplicate_sub_source_reference_split,status_quo_chosen,Keep current Maxwell/Del Negro output with explicit duplicate-sub tradeoff.,Both tested suppressions were worse: one worsened MIN/PM and the other created an off-court Del Negro layup.
0029601163,0,status_quo_chosen,accepted_minute_only_old_era_tail,status_quo_chosen,Keep current Dudley/Robinson output and accept the minute-only tail.,No event or PM corroboration supports a boundary edit.
0029700159,A,policy_overlay_chosen,accepted_broken_sub_out_source_limited_tradeoff,policy_overlay_chosen,Keep current live DEN P3 state and name the broken Garrett OUT source defect.,Lauderdale IN is credible but true OUT is unresolved; reclassifying to Stith or another player is not fully anchored.
0029701075,A,policy_overlay_chosen,accepted_scrambled_p3_current_output,policy_overlay_chosen,Keep current parser output with scrambled-P3 overlay; do not promote partial windows.,The late-Q3 basketball story is real but narrow windows only move damage to other players.
0020000628,B,local_override_chosen,source_reference_split_after_row_override,local_override_chosen,Keep E229 before E227 and accept Van Horn/Williams residual source split.,Row move clears Van Horn's foul; Williams owns the earlier and-one so pushing Van Horn earlier is less credible.
0020400335,B,synthetic_sub_chosen,synthetic_missing_sub_harrington_for_jr_smith_chosen,synthetic_sub_chosen,Synthesize or emulate Q2 7:59 Harrington FOR J.R. Smith and accept official PM disagreement.,Five Harrington actions plus BBR/tpdev possession support anchor both Harrington IN and J.R. Smith OUT.
